;filter_conv_1;kernel_conv_1;filter_conv_2;kernel_conv_2;filter_conv_3;kernel_conv_3;batchnorm_1;batchnorm_2;batchnorm_3;batchnorm_4;n_dense;batch_size;best_val_acc
18;32;3;128;5;256;3;0.8795668523851259;0.8589479911742729;0.9351761031486292;0.7108052921776452;64;64;0.8238999843597412
19;64;5;128;3;128;3;0.966118372000172;0.9817261773179259;0.8854755355977266;0.8234310454695302;256;128;0.8104000091552734
20;32;3;128;5;128;5;0.9097599254128858;0.7816401668674383;0.8300941515753433;0.9970007799105208;256;64;0.817799985408783
21;64;3;128;5;128;5;0.8850861833304595;0.7694884314225797;0.8641927214290124;0.9631318756248254;256;256;0.8407999873161316
22;64;3;128;5;256;5;0.8141184529452739;0.7485400501011654;0.8588460746273241;0.972667046604232;256;256;0.8490999937057495
23;64;3;128;5;128;5;0.8178224066781171;0.7534970024723628;0.8651455599208412;0.9103867029676278;256;256;0.8454999923706055
24;64;3;128;5;128;5;0.7942364865242889;0.7398730099965044;0.7928072902403355;0.90800270894562;256;256;0.8180999755859375
25;64;3;128;5;256;5;0.8160716340611605;0.7536338859410849;0.8604471635861283;0.8870142140871566;256;256;0.8324000239372253
26;64;3;128;5;256;5;0.7351309819099106;0.7994954152869416;0.8388261404705649;0.9219162904472658;256;256;0.847000002861023
27;64;3;128;5;256;5;0.7344917466303708;0.7010172830975334;0.7930386967825593;0.9348691947288046;256;256;0.8464999794960022
28;64;3;128;5;256;5;0.7808651556450528;0.8033791439667991;0.8334185853724789;0.9560797228412716;256;256;0.8287000060081482
29;64;3;128;5;256;5;0.7297256708626189;0.7018365969331746;0.8444490604515842;0.9717421612440724;256;256;0.8349999785423279
30;64;3;128;5;256;5;0.7513509341772641;0.7321633127753095;0.7038291780436686;0.9271950650981646;256;256;0.8521000146865845
31;64;3;128;5;256;5;0.7613389101601675;0.7229085812669437;0.7021262217886591;0.9997876920268464;256;256;0.8252999782562256
32;64;3;128;5;256;5;0.8070586837720667;0.7199762606743317;0.8111221245182053;0.8778825380284458;128;256;0.847599983215332
33;64;3;128;5;256;5;0.7721065237490748;0.7429493125466969;0.7178725189979536;0.9718837944775232;256;256;0.8449000120162964
34;64;3;128;3;256;5;0.8461468883646652;0.8425715225674117;0.8765171198709706;0.9417377613232368;256;256;0.8417999744415283
35;64;3;128;5;256;5;0.8637917306366312;0.7024126728980932;0.9094365035657822;0.9828561786982676;256;256;0.8503999710083008
36;64;3;128;3;256;5;0.8638199369952694;0.7002124737764547;0.99564713446017;0.9939206643385868;128;256;0.8377000093460083
37;64;3;128;5;256;5;0.7006240901225321;0.9058357346101108;0.974617342889155;0.7599339914997818;256;256;0.8258000016212463
38;64;3;128;5;256;5;0.8305959057212844;0.7706327351680309;0.9209211413611024;0.8917207012914687;64;256;0.8514999747276306
39;64;3;128;3;256;5;0.8335275446407525;0.790399160606282;0.9689922329465424;0.8472126103038797;64;256;0.839900016784668
40;64;3;64;5;256;5;0.7454301652295241;0.7683450162191242;0.9512224427548008;0.870390209059037;64;256;0.8317000269889832
41;32;3;128;5;256;3;0.7110534527730749;0.8482038391659299;0.9314316225675092;0.8912485990657059;64;64;0.8230000138282776
42;64;3;128;3;256;5;0.7827371291132034;0.727946940182261;0.7771631268125659;0.9123873032520275;64;256;0.8449000120162964
43;64;3;64;5;256;3;0.8863770637393937;0.8346231188785329;0.982517488803466;0.8612859583841339;64;256;0.8228999972343445
44;32;3;128;5;256;5;0.7254950161591746;0.7988460396417756;0.9201139763788038;0.8429967044162979;64;64;0.8309000134468079
45;64;5;64;5;256;5;0.8280462961573557;0.8689262294434758;0.9584058512327202;0.7730253403047131;64;256;0.8206999897956848
46;64;3;128;3;256;3;0.7513116206312022;0.8139462699328032;0.7510948822616065;0.8950243128303328;128;128;0.8514000177383423
47;32;5;64;5;256;5;0.9996579779771922;0.7326136106587703;0.9008352732159804;0.9514574533648952;64;256;0.7781000137329102
48;64;3;128;5;256;5;0.9325361213351124;0.9026518456189626;0.9442094448775618;0.7263240909087129;64;64;0.8420000076293945
49;32;5;128;3;256;3;0.8038938680395923;0.7670879195642476;0.8158309837600662;0.9240143656474904;128;128;0.8032000064849854
50;64;3;64;5;128;5;0.8538185594075154;0.7103854421257625;0.8762210595807636;0.8808937437738421;64;256;0.7950000166893005
51;64;5;128;5;256;3;0.9621997163454143;0.7836111031067996;0.7173723962845953;0.8101940986687146;64;64;0.8080999851226807
52;32;3;128;5;256;5;0.8754327938038539;0.7585721938245389;0.9162185167748595;0.9018016269513901;128;128;0.8249999880790709
53;64;3;64;3;128;5;0.7728007478064437;0.8135722273104617;0.7823303295077987;0.8306322056418781;64;256;0.8130999803543091
54;64;5;128;5;256;5;0.7162318715788416;0.7136299960293707;0.8964217145689363;0.8583672679336061;64;256;0.8393999934196472
55;64;5;128;3;256;3;0.9468529332676826;0.7196109409121522;0.7053455845411682;0.9535089629421972;128;256;0.8242999911308289
56;32;3;64;3;256;5;0.8491167844627737;0.7202971298035145;0.9898804311698126;0.7033319304154245;256;64;0.8162999749183655
57;32;5;128;3;256;3;0.8410000438151318;0.8908543050844997;0.9134274256235904;0.8687144517269564;256;128;0.8070999979972839
58;32;3;64;5;256;5;0.7656624799722976;0.7769031676975944;0.7361945823105148;0.7480750404243613;128;128;0.8003000020980835
59;32;3;128;5;256;5;0.9442716748388452;0.938114720866043;0.9509284217745926;0.9859821741016108;256;64;0.8324000239372253
60;64;5;128;3;128;3;0.9783748952935664;0.9661283617546376;0.7615717767770478;0.8280155513966286;256;256;0.7702000141143799
61;64;5;128;3;128;3;0.7042492281185171;0.8211727068890841;0.9307015592387692;0.9865971248997432;64;64;0.8222000002861023
62;64;3;64;5;128;5;0.7151739066802804;0.9676124946168064;0.7632989816233228;0.7879813065898476;128;256;0.8158000111579895
63;64;5;64;5;256;3;0.990153745564638;0.9524226700310736;0.9487730368541536;0.8986144478976189;256;64;0.8097000122070312
